22:57:09.945 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridDisplay
22:57:09.945 INFO   - DlgSettingsGridDisplay::DlgSettingsGridDisplay
22:57:09.945 INFO   - DlgSettingsGridDisplay::createSubPanel
22:57:09.945 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesX
22:57:09.947 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesY
22:57:09.950 INFO   - DlgSettingsGridDisplay::createDisplayCommon
22:57:09.951 INFO   - DlgSettingsGridDisplay::createPreview
22:57:09.970 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridRemoval
22:57:09.970 INFO   - DlgSettingsGridRemoval::DlgSettingsGridRemoval
22:57:09.970 INFO   - DlgSettingsGridRemoval::createSubPanel
22:57:09.970 INFO   - DlgSettingsGridRemoval::createRemoveGridLines
22:57:09.971 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesX
22:57:09.973 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesY
22:57:09.975 INFO   - DlgSettingsGridRemoval::createPreview
22:57:09.989 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsPointMatch
22:57:09.989 INFO   - DlgSettingsPointMatch::DlgSettingsPointMatch
22:57:09.990 INFO   - DlgSettingsPointMatch::createSubPanel
22:57:09.990 INFO   - DlgSettingsPointMatch::createControls
22:57:09.992 INFO   - DlgSettingsPointMatch::createPreview
22:57:09.994 INFO   - DlgSettingsPointMatch::createTemplate
22:57:10.009 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsSegments
22:57:10.009 INFO   - DlgSettingsSegments::DlgSettingsSegments
22:57:10.009 INFO   - DlgSettingsSegments::createSubPanel
22:57:10.009 INFO   - DlgSettingsSegments::createControls
22:57:10.012 INFO   - DlgSettingsSegments::createPreview
22:57:10.013 INFO   - DlgSettingsSegments::createPreviewImage
22:57:10.034 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGeneral
22:57:10.034 INFO   - DlgSettingsGeneral::DlgSettingsGeneral
22:57:10.034 INFO   - DlgSettingsGeneral::createSubPanel
22:57:10.035 INFO   - DlgSettingsGeneral::createControls
22:57:10.041 INFO   - DlgSettingsGeneral::createOptionalSaveDefault
22:57:10.042 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsMainWindow
22:57:10.042 INFO   - DlgSettingsMainWindow::DlgSettingsMainWindow
22:57:10.042 INFO   - DlgSettingsMainWindow::createSubPanel
22:57:10.042 INFO   - DlgSettingsMainWindow::createControls
22:57:10.091 INFO   - DlgSettingsMainWindow::createOptionalSaveDefault
22:57:10.091 INFO   - MainWindow::createCommandStackShadow
22:57:10.092 INFO   - CmdStackShadow::CmdStackShadow
22:57:10.092 INFO   - MainWindow::createZoomMaps
22:57:10.092 INFO   - MainWindow::updateControls selectedItems=0
22:57:10.092 INFO   - MainWindow::slotViewToolBarChecklistGuide
22:57:10.094 INFO   - MainWindow::slotCmbBackground
22:57:10.095 INFO   - BackgroundStateContext::setBackgroundImage background=Original
22:57:10.095 INFO   - BackgroundStateContext::requestStateTransition
22:57:10.095 INFO   - BackgroundStateContext::completeRequestedStateTransitionIfExists
22:57:10.095 INFO   - BackgroundStateUnloaded::end
22:57:10.095 INFO   - BackgroundStateOriginal::begin
22:57:10.096 INFO   - MainWindow::slotViewZoom
22:57:10.096 INFO   - MainWindow::slotViewZoomFactor
22:57:10.097 INFO   - StatusBar::slotZoom zoom=12
22:57:10.097 INFO   - MainWindow::updateSettingsMainWindow
22:57:10.097 INFO   - MainWindow::updateWindowTitle
22:57:10.097 INFO   - MainWindow::updateFittingWindow
22:57:10.097 INFO   - MainWindow::updateGeometryWindow
22:57:10.097 INFO   - MainWindow::setCurrentFile
22:57:10.097 INFO   - MainWindow::updateWindowTitle
22:57:10.830 INFO   - MainWindow::showEvent files=
22:57:23.412 INFO   - MainWindow::slotFileImport
22:57:23.413 INFO   - MainWindow::fileImportWithPrompts importType=0
22:57:40.868 INFO   - MainWindow::fileImport fileName=/home/michal/WinISD/drivers/214x215.jpg curDir=/home/michal/stm32/kolumny importType=0
22:57:40.868 INFO   - Jpeg2000::load filename=/home/michal/WinISD/drivers/214x215.jpg
22:57:40.870 ERROR  - Jpeg2000::load encountered error creating decoding stream
22:57:40.913 INFO   - MainWindow::loadImage fileName=/home/michal/WinISD/drivers/214x215.jpg importType=0
22:57:40.914 INFO   - MainWindow::loadImageNewDocument fileName=/home/michal/WinISD/drivers/214x215.jpg importType=0
22:57:40.934 INFO   - CoordSystemContext::CoordSystemContext
22:57:40.934 INFO   - Document::Document image=756x432
22:57:40.934 INFO   - CoordSystemContext::addCoordSystems numberToAdd=1
22:57:40.936 INFO   - CoordSystem::CoordSystem
22:57:40.939 INFO   - CmdMediator::CmdMediator image=756x432
